file	README.md	docs/README.md	docs/core/README.md	docs/guides/STANDARDS_INDEX.md	docs/nist/README.md	docs/standards/UNIFIED_STANDARDS.md	examples/README.md	micro/README.md	monitoring/README.md	tools-config/README.md
docs/guides/VALIDATION_PATTERNS.md	0	0	0	1	0	0	0	0	0	0
docs/implementation-notes.md	0	1	0	0	0	0	0	0	0	0
docs/index.md	0	1	0	0	0	0	0	0	0	0
docs/nist/NIST_IMPLEMENTATION_GUIDE.md	0	0	0	0	1	0	0	0	0	0
docs/nist/NIST_QUICK_CONTEXT.md	0	0	0	0	1	0	0	0	0	0
docs/nist/NIST_QUICK_REFERENCE.md	0	0	0	0	1	0	0	0	0	0
docs/nist/NIST_TAGGING_PROPOSAL.md	0	0	0	0	1	0	0	0	0	0
docs/nist/README.md	0	0	0	0	1	0	0	0	0	0
docs/nist/implement_800-53.md	0	0	0	0	1	0	0	0	0	0
docs/standards/CLOUD_NATIVE_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/CODING_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/COMPLIANCE_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/CONTENT_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/COST_OPTIMIZATION_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/DATABASE_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/DATA_ENGINEERING_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/DEVOPS_PLATFORM_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/EVENT_DRIVEN_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/FRONTEND_MOBILE_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/GITHUB_PLATFORM_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/KNOWLEDGE_MANAGEMENT_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/LEGAL_COMPLIANCE_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/MICROSERVICES_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/ML_AI_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/MODEL_CONTEXT_PROTOCOL_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/MODERN_SECURITY_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/OBSERVABILITY_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/PROJECT_MANAGEMENT_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/SEO_WEB_MARKETING_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/TESTING_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/TOOLCHAIN_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/UNIFIED_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
docs/standards/WEB_DESIGN_UX_STANDARDS.md	0	0	0	0	0	1	0	0	0	0
examples/README.md	0	0	0	0	0	0	1	0	0	0
examples/project_plan_example.md	0	0	0	0	0	0	1	0	0	0
micro/CS-api.micro.md	0	0	0	0	0	0	0	1	0	0
micro/README.md	0	0	0	0	0	0	0	1	0	0
micro/SEC-auth.micro.md	0	0	0	0	0	0	0	1	0	0
micro/TS-unit.micro.md	0	0	0	0	0	0	0	1	0	0
monitoring/README.md	0	0	0	0	0	0	0	0	1	0
skills/testing/integration-testing/resources/examples/contract-testing.md	0	0	0	0	0	0	0	0	0	0
tools-config/README.md	0	0	0	0	0	0	0	0	0	1
